Restart? - 0
Model:	2dxyz
Jx:	0.225
Jy:	0.425
Jz:	0.25
Field:	0.05
Theta:	0
Dissipation:	1
N_sites (col x row):	9    (3 x 3 )
Reference:	
000
000
000

000
000
000

---------------------------


Number of iteration:	40000
Target walker number:	25000
Initial energy shift:	-4
Time step:	0.001
Random seed:	12345
Population control damping:	0.1
Importance sampling:	0.606531
Initiator:	10
Starting time:	Mon Jan 15 16:00:27 2018

---------------------------
Time 	 State number 	 Real Mx 	 Imag Mx 	 Real My 	 Imag My 	 Real Mz 	 Imag Mz 	 Div real 	 Div imag 	 Diag_det_nb 	 Det_nbr
95	37	0	-0.183191	1.28234	0	-220.556	0	221	0	2	37
96	36	0	-0.183191	1.28234	0	-221.556	0	222	0	2	36
97	36	0	-0.183191	1.28234	0	-221.556	0	222	0	2	36
98	36	0	-0.183191	1.28234	0	-223.556	0	224	0	2	36
99	36	0	-0.183191	1.28234	0	-223.556	0	224	0	2	36
100	36	0	-0.183191	1.28234	0	-224.556	0	225	0	2	36
101	37	0	0	1.46553	0	-225.556	0	226	0	2	37
102	38	0	0	1.46553	0	-226.556	0	227	0	2	38
103	38	0	0	1.46553	0	-227.556	0	228	0	2	38
104	38	0	0	1.46553	0	-228.556	0	229	0	2	38
105	38	0	0	1.46553	0	-230.556	0	231	0	2	38
106	38	0	0	1.46553	0	-230.556	0	231	0	2	38
107	38	0	0	1.46553	0	-231.556	0	232	0	2	38
108	38	0	0	1.46553	0	-233.556	0	234	0	2	38
109	38	0	0	1.46553	0	-233.556	0	234	0	2	38
110	38	0	0	1.46553	0	-233.556	0	234	0	2	38
111	38	0	0	1.46553	0	-233.556	0	234	0	2	38
112	38	0	0	1.46553	0	-233.556	0	234	0	2	38
113	38	0	0	1.46553	0	-233.556	0	234	0	2	38
114	38	0	0	1.46553	0	-234.556	0	235	0	2	38
115	38	0	0	1.46553	0	-236.556	0	237	0	2	38
116	38	0	0	1.46553	0	-238.556	0	239	0	2	38
